GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,com.arnab.jacocoapp,MainActivity,10,0,0,0,4,0,2,0,2,0
app,com.arnab.jacocoapp,DateFormatter,2,29,1,1,1,4,1,1,0,1
